Municipality,Municipality District,Community,Condo Corp#,Building Name,Unit #,Apt/Unit #,Street #,Street Name,Address,Postal Code,Bedrooms,Bedrooms +,Beds,Bedrooms Total,WR,Balcony,Type,SqFt,Approx Age,Status,Exposure,Parking Included,Total Parking Spaces,Locker,Building Amenities,Maintenance,Taxes,MLS#,Listing Entry Date,Original Price,Price,List Price,Sold Price,% Listing Price,Sold Date,Closed Date,DOM,Square Foot Source,Suspended Date,Terminated Date,PIN#,Assessment Roll #,List Brokerage,Contract Date,Co-Operating Brokerage,Last Update Date,Full Address,location,Latitude,Longitude,Area,Reg year
Toronto,Toronto C01,Little Portugal,2583,,30,335,68,Abell,68 Abell St 335‚ Toronto,M6J 0B1,1,,1,1,1,Open,Condo Apt‚ Apartment,0-499,,Sold,N,,0,,,291.99,1312.56,C8215162,4/9/2024,399000,420000,429900,420000,98,4/25/2024,5/22/2024,16,As Per Owner,,,765830099,1.90E+14,HOMELIVING EMPIRE REALTY INC.,4/9/2024,"PROPERTY.CA INC., BROKERAGE",5/2/2024,"68 Abell st, Toronto, ON, Canada","68 Abell St, Toronto, ON M6J 0B1, Canada",43.6423205,-79.4243624,373,
Toronto,Toronto C01,Kensington-Chinatown,1794,,64,35,68,Carr,68 Carr St 35‚ Toronto,M5T 1B7,0,,0,0,1,Terr,Condo Townhouse‚ Bachelor/Studio,0-499,,SUS,W,,1,,"Bbqs Allowed, Visitor Parking",335.33,1900,C8126446,3/8/2024,469900,469500,469500,,,,,49,Mgmt,4/26/2024,,127940064,1.90E+14,ROYAL LEPAGE SIGNATURE REALTY,3/8/2024,,5/1/2024,"68 Carr st, Toronto, ON, Canada","68 Carr St, Toronto, ON M5T 1B7, Canada",43.6495506,-79.4036701,355,
Toronto,Toronto C01,Bay Street Corridor,2845,,10,3010,11,Wellesley,11 Wellesley St W 3010‚ Toronto,M4Y 1E8,0,,0,0,1,Open,Condo Apt‚ Apartment,0-499,0-5,Sold,N,Y,1,Owned,,392.66,2107.07,C8186006,4/1/2024,559900,470000,469900,470000,100,4/28/2024,6/27/2024,27,Builder Floorplan 343 Sq Ft,,,,,ROYAL LEPAGE VISION REALTY,4/1/2024,"BSPOKE REALTY INC., BROKERAGE",5/2/2024,"11 Wellesley st, Toronto, ON, Canada","11 Wellesley St E, Toronto, ON M4Y 3A6, Canada",43.6651161,-79.3841772,343,
Toronto,Toronto C01,Bay Street Corridor,933,Minto Plaza,10,1110,38,Elm,38 Elm St 1110‚ Toronto,M5G 2K5,1,,1,1,1,,Condo Apt‚ Apartment,600-699,31-50,Sold,S,,0,Exclusive,"Concierge, Games Room, Gym, Indoor Pool, Party/Meeting Room, Rooftop Deck/Garden",640.12,2098.76,C8176624,3/27/2024,549000,475000,529000,475000,90,4/26/2024,6/13/2024,30,As Per Previous Listing,,,119330121,1.90E+14,REAL BROKER ONTARIO LTD.,3/27/2024,"REAL BROKER ONTARIO LTD., BROKERAGE",5/1/2024,"38 Elm st, Toronto, ON, Canada","38 Elm St, Toronto, ON M5G 2K5, Canada",43.6578425,-79.3835701,608,
Toronto,Toronto C01,Waterfront Communities C1,1694,,1,601,10,Navy Wharf,10 Navy Wharf Crt 601‚ Toronto,M5V 3V2,1,1,1+1,2,1,Open,Condo Apt‚ Apartment,600-699,,Sold,W,Y,1,Owned,"Concierge, Gym, Indoor Pool, Squash/Racquet Court",662.85,2451.89,C8188212,4/2/2024,599000,665000,688000,665000,97,4/27/2024,6/3/2024,25,665+27 As Per Floorplan,,,126940086,1.90E+14,SMART SOLD REALTY,4/2/2024,"HOMELIFE GOLCONDA REALTY INC., BROKERAGE",5/2/2024,"10 Navy Wharf st, Toronto, ON, Canada","10 Navy Wharf Ct, Toronto, ON M5V 3V2, Canada",43.6404514,-79.3919349,659,
Toronto,Toronto C01,Waterfront Communities C1,989,Residences Of The World Trade Ii,6,1006,10,Queens,10 Queens Quay W 1006‚ Toronto,M5J 2R9,1,1,1+1,2,1,,Comm Element Condo‚ Apartment,700-799,16-30,EXP,S,,1,Owned,"Car Wash, Gym, Outdoor Pool, Party/Meeting Room, Sauna, Visitor Parking",984.25,2585.1,C8053762,2/8/2024,865000,865000,865000,,,,,82,740 Per Builder,,,,,PROPERTY.CA INC.,2/8/2024,,5/1/2024,"10 Queens st, Toronto, ON, Canada","10 Queen St E, Toronto, ON M5C, Canada",43.6529344,-79.3783172,738,
Toronto,Toronto C01,Waterfront Communities C1,2708,Ten York,7,3707,10,York,10 York St 3707‚ Toronto,M5J 0E1,1,1,1+1,2,1,,Condo Apt‚ Apartment,600-699,,Sold,S,,0,Owned,,464.76,3591.22,C8124888,3/8/2024,758000,720000,745000,720000,97,5/2/2024,5/31/2024,55,"A/P Builders Plan, 648 Sqft",,,,1.90E+14,JDL REALTY INC.,3/8/2024,"PROPERTY.CA INC., BROKERAGE",5/2/2024,"10 York st, Toronto, ON, Canada","10 York St, Toronto, ON M5J 0E1, Canada",43.6411454,-79.3813125,663,
Toronto,Toronto C01,Waterfront Communities C1,2534,,12,512,629,King,629 King St W 512‚ Toronto,M5V 0G9,1,,1,1,1,,Condo Apt‚ Apartment,600-699,,SUS,S,Y,0,Owned,"Concierge, Gym, Media Room, Outdoor Pool, Rooftop Deck/Garden",543.02,2400.77,C8147568,3/16/2024,627000,617000,617000,,,,,46,630 Sq.Ft.,5/1/2024,,765340116,1.90E+14,THE CONDO STORE REALTY INC.,3/16/2024,,5/1/2024,"629 King st, Toronto, ON, Canada","629 King St W, Toronto, ON M5V 0G9, Canada",43.644001,-79.4015398,630,
Toronto,Toronto C01,Niagara,2296,,15,515,5,Hanna,5 Hanna Ave 515‚ Toronto,M6K 0B3,1,,1,1,2,Encl,Condo Apt‚ Loft,500-599,,Sold,N,Y,1,Owned,"Concierge, Exercise Room, Guest Suites, Gym, Visitor Parking",451.82,2278.66,C8270668,4/25/2024,568000,620000,568000,620000,109,5/2/2024,5/29/2024,7,Mpac,,,,,HOMELIFE NEW WORLD REALTY INC.,4/25/2024,"PROPERTY.CA INC., BROKERAGE",5/2/2024,"5 Hanna st, Toronto, ON, Canada","5 Hanna Ave, Toronto, ON M6K 0B3, Canada",43.6375922,-79.4187813,542,
Toronto,Toronto C01,Bay Street Corridor,876,,7,1007,1001,Bay,1001 Bay St 1007‚ Toronto,M5S 3A6,1,1,1+1,2,1,,Condo Apt‚ Apartment,700-799,,TER,Se,,0,Exclusive,"Concierge, Guest Suites, Gym, Indoor Pool, Party/Meeting Room, Rooftop Deck/Garden",536.56,2385.5,C8154504,3/19/2024,589000,629000,629000,,,,,43,Measurement,,5/1/2024,,1.90E+14,ROYAL LEPAGE SIGNATURE REALTY,3/19/2024,,5/1/2024,"1001 Bay st, Toronto, ON, Canada","1001 Bay St., Toronto, ON M5S 3A6, Canada",43.6655763,-79.3873824,710,
Toronto,Toronto C01,Waterfront Communities C1,2155,,5,2505,80,John,80 John St 2505‚ Toronto,M5V 3X4,1,,1,1,1,Open,Condo Apt‚ Apartment,500-599,,EXP,W,,0,Owned,"Concierge, Gym, Indoor Pool, Media Room, Party/Meeting Room, Sauna",598.56,2678.42,C8093780,2/26/2024,638000,638000,638000,,,,,64,As Per Builder's Plan,,,761550316,,LANDSTARS 360 REALTY INC.,2/26/2024,,5/1/2024,"80 John st, Toronto, ON, Canada","80 John St, Toronto, ON M5V 3X4, Canada",43.646771,-79.3899912,568,
Toronto,Toronto C01,Trinity-Bellwoods,2612,,1,401,109,Wolseley,109 Wolseley St 401‚ Toronto,M6J 1K1,1,1,1+1,2,1,Open,Condo Apt‚ Loft,700-799,,TER,Nw,Y,1,Owned,Bbqs Allowed,1035.6,3517.9,C8096682,2/27/2024,599999,599999,599999,,,,,65,Mpac,,5/1/2024,,,KELLER WILLIAMS ENERGY REAL ESTATE,2/26/2024,,5/1/2024,"109 Wolseley st, Toronto, ON, Canada","109 Wolseley St, Toronto, ON M6J 1K1, Canada",43.6479268,-79.4045798,775,
Toronto,Toronto C01,Little Portugal,2218,2G,4,704,2,Gladstone,2 Gladstone Ave 704‚ Toronto,M6J 0B2,2,,2,2,1,Open,Condo Apt‚ Apartment,700-799,,TER,E,Y,1,Owned,"Bbqs Allowed, Bike Storage, Party/Meeting Room, Visitor Parking",835.35,2964.9,C8259782,4/22/2024,649000,649000,649000,,,,,10,727 - Mpac,,5/2/2024,,,BOSLEY REAL ESTATE LTD.,4/22/2024,,5/2/2024,"2 Gladstone st, Toronto, ON, Canada","2 Gladstone Ave, Toronto, ON M6J 1J6, Canada",43.6427533,-79.4274355,767,2012
Toronto,Toronto C01,Waterfront Communities C1,2510,,3,2503,12,York,12 York St 2503‚ Toronto,M5J 0A9,1,1,1+1,2,1,Jlte,Condo Apt‚ Apartment,600-699,,EXP,S,,0,Owned,,533.28,3144.81,C7401960,1/16/2024,649999,649999,649999,,,,,105,Mpac,,,,,RE/MAX PROFESSIONALS INC.,1/16/2024,,5/1/2024,"12 York st, Toronto, ON, Canada","12 York St, Toronto, ON M5J 0A9, Canada",43.6417442,-79.3819559,683,
Toronto,Toronto C01,Dufferin Grove,1802,Bebloor,9,1009,1369,Bloor,1369 Bloor St W 1009‚ Toronto,M6P 4J4,1,1,1+1,2,1,Open,Condo Apt‚ Apartment,700-799,16-30,Sold,W,Y,1,Owned,"Bike Storage, Exercise Room, Outdoor Pool, Party/Meeting Room, Visitor Parking",515.15,2278.66,C7402458,1/16/2024,675000,650000,669800,650000,97,5/1/2024,5/30/2024,107,Seller,,,128020265,1.90E+14,ROYAL LEPAGE YOUR COMMUNITY REALTY,1/15/2024,"TORONTO REAL ESTATE SERVICES LTD., BROKERAGE",5/1/2024,"1369 Bloor st, Toronto, ON, Canada","1369 Bloor St W, Toronto, ON M6P 4J4, Canada",43.6570898,-79.4455728,716,
Toronto,Toronto C01,Bay Street Corridor,1781,Eleven Residences,8,1612,11,St Joseph,11 St Joseph St 1612‚ Toronto,M4Y 1J8,2,,2,2,2,,Condo Apt‚ Apartment,900-999,,EXP,Se,Y,1,Owned,"Bbqs Allowed, Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",869.61,3873.75,C8041278,2/2/2024,980000,958000,958000,,,,,88,Builder Floor Plan - 980 Sf,,,,,TRADEWORLD REALTY INC,2/2/2024,,5/1/2024,"11 St Joseph st, Toronto, ON, Canada","11 St Joseph St, Toronto, ON M4Y 3G4, Canada",43.6657429,-79.3861318,980,2010
Toronto,Toronto C01,Waterfront Communities C1,2658,,3,5503,100,Harbour,100 Harbour St 5503‚ Toronto,M5J 2T5,1,,1,1,1,Open,Condo Apt‚ Apartment,500-599,,Sold,N,,0,,,499.52,2818.33,C8237696,4/16/2024,725000,681900,725000,681900,94,4/30/2024,6/27/2024,14,As Per Builder,,,,,ROYAL LEPAGE REAL ESTATE SERVICES SUCCESS TEAM,4/16/2024,"HOMEWISE REAL ESTATE, BROKERAGE",5/1/2024,"100 Harbour st, Toronto, ON, Canada","100 Harbour St, Toronto, ON M5J 0B5, Canada",43.6417725,-79.379146,,
Toronto,Toronto C01,Bay Street Corridor,1510,Elev'n21,1,801,1121,Bay,1121 Bay St 801‚ Toronto,M5S 3L9,2,,2,2,1,Open,Condo Apt‚ Apartment,700-799,16-30,EXP,E,,0,,"Concierge, Exercise Room, Party/Meeting Room, Rooftop Deck/Garden, Sauna",998.64,3165.98,C8032386,1/30/2024,81800,799000,799000,,,,,91,Floor Plan 765 Sq Ft + 30 Sq Ft Balcony,,,125100356,1.90E+14,AGENTONDUTY INC.,1/30/2024,,5/1/2024,"1121 Bay st, Toronto, ON, Canada","1121 Bay St., Toronto, ON M5S 3L9, Canada",43.6679864,-79.3885486,776,
Toronto,Toronto C01,Waterfront Communities C1,2824,King Blue,16,519,115,Blue Jays,115 Blue Jays Way 519‚ Toronto,M5V 0N4,1,,1,1,1,,Condo Apt‚ Apartment,500-599,0-5,TER,Sw,,0,,"Concierge, Gym, Indoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",368.72,2258.67,C8152902,3/18/2024,599999,599999,599999,,,,,44,Floorplan,,5/1/2024,768240033,1.90E+14,SKYLINE MARKETING REALTY INC.,3/18/2024,,5/1/2024,"115 Blue Jays st, Toronto, ON, Canada","115 Blue Jays Way, Toronto, ON M5V 0N4, Canada",43.6455292,-79.3918257,527,
Toronto,Toronto C01,Waterfront Communities C1,2824,King Blue,4,705,115,Blue Jays,115 Blue Jays Way 705‚ Toronto,M5V 0N4,1,,1,1,1,Jlte,Condo Apt‚ Apartment,0-499,0-5,TER,N,,0,,"Concierge, Gym, Indoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",363.82,2045.46,C8145514,3/15/2024,499900,550000,550000,,,,,52,467,,5/6/2024,,,HOMELIFE FRONTIER REALTY INC.,3/15/2024,,5/6/2024,"115 Blue Jays st, Toronto, ON, Canada","115 Blue Jays Way, Toronto, ON M5V 0N4, Canada",43.6455292,-79.3918257,422,
Toronto,Toronto C01,Waterfront Communities C1,2510,,6,1306,12,York,12 York St 1306‚ Toronto,M5J 0A9,1,1,1+1,2,1,Open,Condo Apt‚ Apartment,500-599,,TER,W,,0,Owned,"Concierge, Exercise Room, Gym, Indoor Pool, Party/Meeting Room, Sauna",456.24,2778.3,C8216268,4/9/2024,569900,569900,569900,,,,,28,As Per Builder,,5/7/2024,,,FOREST HILL REAL ESTATE INC.,4/9/2024,,5/7/2024,"12 York st, Toronto, ON, Canada","12 York St, Toronto, ON M5J 0A9, Canada",43.6417442,-79.3819559,,
Toronto,Toronto C01,Niagara,1559,,8,108,915,King,915 King St W 108‚ Toronto,M6K 3M2,1,1,1+1,2,1,,Condo Apt‚ Loft,600-699,100+,EXP,N,,1,,Bike Storage,656.76,2401.01,C8106376,3/1/2024,749999,749999,749999,,,,,60,600-699,,,,,YOUR HOME SOLD GUARANTEED REALTY IMPERIUM,3/1/2024,,5/1/2024,"915 King st, Toronto, ON, Canada","915 King St W, Toronto, ON M6K 3M2, Canada",43.6416567,-79.4127352,662,2003
Toronto,Toronto C01,Waterfront Communities C1,1834,Ice Condos,7,1407,12,York,12 York St 1407‚ Toronto,M5J 0B1,2,1,2+1,3,2,Open,Condo Apt‚ Apartment,700-799,,TER,Nw,,1,Owned,"Concierge, Gym, Indoor Pool, Party/Meeting Room, Sauna",768,2825,C8211186,4/7/2024,699900,699900,699900,,,,,24,Floor Plan,,5/1/2024,765100249,1.90E+14,ZUMIN REAL ESTATE CENTRE,4/7/2024,,5/1/2024,"12 York st, Toronto, ON, Canada","12 York St, Toronto, ON M5J 0A9, Canada",43.6417442,-79.3819559,781,
Toronto,Toronto C01,Waterfront Communities C1,2584,,11,2911,290,Adelaide,290 Adelaide St W 2911‚ Toronto,M5V 1P6,1,1,1+1,2,1,Open,Condo Apt‚ Apartment,700-799,,SUS,Sw,,0,,"Concierge, Gym, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Sauna",504.52,3271.41,C8030542,1/30/2024,795000,795000,795000,,,,,92,As Per Floorplan+Balcony,5/1/2024,,,1.90E+14,HOMELIFE LANDMARK REALTY INC.,1/30/2024,,5/1/2024,"290 Adelaide st, Toronto, ON, Canada","290 Adelaide St W, Toronto, ON M5V 0P3, Canada",43.6480809,-79.3910262,,2017
Toronto,Toronto C01,Waterfront Communities C1,0,Nobu Residences Toronto,13,1213,35,Mercer,35 Mercer St 1213‚ Toronto,M5V 1H2,2,,2,2,2,,Condo Apt‚ Apartment,600-699,New,TER,N,,0,,,471.75,0,C8136320,3/12/2024,799000,799000,799000,,,,,54,692 As Per Builder,,4/30/2024,,,HARLOWE REALTY CORPORATION,3/7/2024,,5/1/2024,"35 Mercer st, Toronto, ON, Canada","35 Mercer St, Toronto, ON M5V 0V1, Canada",43.6454864,-79.3909407,,
Toronto,Toronto C01,Little Portugal,224,,4,1104,150,Sudbury,150 Sudbury St 1104‚ Toronto,M6J 3S8,2,1,2+1,3,2,Open,Condo Apt‚ Apartment,800-899,,Sold,Ne,,1,Owned,"Bike Storage, Exercise Room, Guest Suites, Indoor Pool, Party/Meeting Room",653.08,2805.01,C8172458,3/25/2024,795000,805000,795000,805000,101,4/30/2024,6/24/2024,36,Floor Plans,,,,1.90E+14,ROYAL LEPAGE REAL ESTATE SERVICES OXLEY REAL ESTATE,3/25/2024,"ROYAL LEPAGE SIGNATURE REALTY, BROKERAGE",5/1/2024,"150 Sudbury st, Toronto, ON, Canada","150 Sudbury St, Toronto, ON M6J 3S8, Canada",43.6415413,-79.4240738,890,
Toronto,Toronto C01,Waterfront Communities C1,2310,,15,215,399,Adelaide,399 Adelaide St W 215‚ Toronto,M5V 1S1,2,,2,2,2,,Condo Apt‚ Loft,800-899,,Sold,N,Y,1,Owned,"Bbqs Allowed, Concierge, Gym, Lap Pool, Party/Meeting Room, Visitor Parking",739.92,3457.96,C7354370,12/13/2023,869900,815000,869900,815000,94,4/29/2024,5/24/2024,138,Mpac,,,,,HOMELIFE NEW WORLD REALTY INC.,12/13/2023,"ROYAL LEPAGE SIGNATURE REALTY, BROKERAGE",5/2/2024,"399 Adelaide st, Toronto, ON, Canada","399 Adelaide St W, Toronto, ON M5V 1S1, Canada",43.6461884,-79.3972358,895,2013
Toronto,Toronto C01,Niagara,1233,Town Villas At Massey Common,51,1,132,Strachan,132 Strachan Ave 1‚ Toronto,M6J 3W4,3,1,3+1,4,2,Terr,Condo Townhouse‚ Stacked Townhse,1400-1599,,Sold,E,Y,1,Ensuite,,664.78,4377.42,C8264570,4/23/2024,1099000,1336000,1099000,1336000,122,5/1/2024,6/19/2024,8,Mpac,,,122330051,1.90E+14,REXIG REALTY INVESTMENT GROUP LTD.,4/23/2024,"BOSLEY REAL ESTATE LTD., BROKERAGE",5/2/2024,"132 Strachan st, Toronto, ON, Canada","132 Strachan Ave, Toronto, ON M6J 3W4, Canada",43.6431862,-79.4125505,1400,
Toronto,Toronto C01,Niagara,2150,,10,1510,135,East Liberty,135 East Liberty St 1510‚ Toronto,M6K 3P6,1,,1,1,1,Open,Condo Apt‚ Apartment,500-599,,EXP,E,,0,Owned,"Concierge, Gym, Party/Meeting Room, Visitor Parking",534.1,2791.6,C8031428,1/30/2024,595000,595000,595000,,,,,91,Per Builder,,,,,SUTTON GROUP-ADMIRAL REALTY INC.,1/30/2024,,5/1/2024,"135 East Liberty st, Toronto, ON, Canada","135 E Liberty St, Toronto, ON M6K 0G7, Canada",43.638566,-79.416906,551,
Toronto,Toronto C01,Waterfront Communities C1,2915,Liberty Market Tower,3,Ph 3,135,East Liberty,135 East Liberty St Ph 3‚ Toronto,M6K 0G7,3,1,3+1,4,3,Terr,Condo Apt‚ Apartment,1000-1199,0-5,TER,Nw,Y,2,Owned,"Bbqs Allowed, Bus Ctr (Wifi Bldg), Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden",1239.53,6889.28,C7387222,1/9/2024,1795000,1795000,1795000,,,,,113,Per Floor Plan,,5/1/2024,769150273,1.90E+14,FOREST HILL REAL ESTATE INC.,1/9/2024,,5/1/2024,"135 East Liberty st, Toronto, ON, Canada","135 E Liberty St, Toronto, ON M6K 0G7, Canada",43.638566,-79.416906,1010,
Toronto,Toronto C01,Niagara,338,,4,201,829,Richmond,829 Richmond St W 201‚ Toronto,M6J 3P7,3,1,3+1,4,2,Open,Condo Townhouse‚ 3-Storey,1200-1399,,EXP,W,,1,Ensuite,,84,4070.93,C8026574,1/26/2024,879900,879900,879900,,,,,95,1321,,,113380006,1.90E+14,REAL ESTATE ADVISORS INC.,1/26/2024,,5/1/2024,"829 Richmond st, Toronto, ON, Canada","829 Richmond St W, Toronto, ON M6J 3P7, Canada",43.644396,-79.4110582,1321,
Toronto,Toronto C01,Waterfront Communities C1,2510,,7,1707,14,York,14 York St 1707‚ Toronto,M5J 0B1,1,1,1+1,2,1,Open,Condo Apt‚ Apartment,500-599,,TER,W,,0,Owned,"Concierge, Exercise Room, Gym, Indoor Pool, Party/Meeting Room",504.35,2918.28,C8272038,4/25/2024,519900,519900,519900,,,,,11,Per Floor Plan,,5/6/2024,,,SUTTON GROUP - SUMMIT REALTY INC.,4/25/2024,,5/6/2024,"14 York st, Toronto, ON, Canada","14 York St, Toronto, ON M5J 0B1, Canada",43.6419657,-79.3815389,,
Toronto,Toronto C01,Waterfront Communities C1,0,Nobu Residences,22,422,15,Mercer,15 Mercer St 422‚ Toronto,M5V 0T8,1,,1,1,1,,Condo Apt‚ Apartment,500-599,New,Sold,N,,0,,"Bbqs Allowed, Concierge, Gym, Indoor Pool, Rooftop Deck/Garden, Visitor Parking",0,0,C8147312,3/16/2024,599000,545000,579000,545000,94,4/29/2024,5/3/2024,44,534 Sq Ft (Builder Document),,,,,SUPERSTARS REALTY LTD.,3/16/2024,"ROYAL LEPAGE SIGNATURE REALTY, BROKERAGE",5/3/2024,"15 Mercer st, Toronto, ON, Canada","15 Mercer St, Toronto, ON M5V 1H2, Canada",43.6455696,-79.3901536,536,
Toronto,Toronto C01,Bay Street Corridor,2920,,11,1011,20,Edward,20 Edward St 1011‚ Toronto,M5G 0G5,2,1,2+1,3,2,Open,Condo Apt‚ Apartment,700-799,0-5,EXP,W,,0,Owned,,552.61,4466.5,C7312762,11/21/2023,948000,948000,948000,,,,,161,Owner,,,769200139,1.90E+14,TOP ASSETS REALTY INC.,11/21/2023,,5/1/2024,"20 Edward st, Toronto, ON, Canada","20 Edward St, Toronto, ON M5G 0C5, Canada",43.6569939,-79.3821206,733,
Toronto,Toronto C01,Waterfront Communities C1,3043,Nobu Residences,8,708,15,Mercer,15 Mercer St 708‚ Toronto,M5V 0T8,2,,2,2,2,,Condo Apt‚ Apartment,600-699,New,TER,N,,0,,,469.71,4829,C8255372,4/21/2024,835000,835000,835000,,,,,11,689 Builder,,5/2/2024,,,HOMELIFE FRONTIER REALTY INC.,4/21/2024,,5/2/2024,"15 Mercer st, Toronto, ON, Canada","15 Mercer St, Toronto, ON M5V 1H2, Canada",43.6455696,-79.3901536,689,
Toronto,Toronto C01,Waterfront Communities C1,2155,,3,Uph3,80,John,80 John St Uph3‚ Toronto,M5V 3X4,2,1,2+1,3,2,Open,Condo Apt‚ Apartment,2250-2499,,EXP,Ne,Y,2,Owned,"Bus Ctr (Wifi Bldg), Concierge, Exercise Room, Indoor Pool, Sauna, Visitor Parking",2519.85,12430.1,C5984984,5/12/2023,2498900,2638000,2638000,,,,,365,2289 Sq,,,,,RE/MAX REALTRON REALTY INC.,5/12/2023,,5/12/2024,"80 John st, Toronto, ON, Canada","80 John St, Toronto, ON M5V 3X4, Canada",43.646771,-79.3899912,2289,
Toronto,Toronto C01,Niagara,2371,,8,2808,150,East Liberty,150 East Liberty St 2808‚ Toronto,M6K 3R5,0,,0,0,1,Open,Condo Apt‚ Apartment,0-499,,Sold,S,,0,Owned,"Concierge, Guest Suites, Gym, Party/Meeting Room, Rooftop Deck/Garden, Sauna",346.71,1652.3,C8149516,3/18/2024,499000,460000,499000,460000,92,5/4/2024,5/22/2024,47,Builder,,,,,PSR,3/18/2024,"BRAD J. LAMB REALTY 2016 INC., BROKERAGE",5/6/2024,"150 East Liberty st, Toronto, ON, Canada","150 E Liberty St, Toronto, ON M6K 3R5, Canada",43.6387616,-79.4162413,456,
Toronto,Toronto C01,Little Portugal,2249,,613,613,150,Sudbury,150 Sudbury St 613‚ Toronto,M6J 3S8,1,,1,1,1,Terr,Condo Apt‚ Loft,500-599,,EXP,Ne,Y,1,Owned,Exercise Room,395.2,2077,C8048002,2/6/2024,584900,584900,584900,,,,,92,As Per Seller,,,762490094,1.90E+14,RE/MAX PROFESSIONALS NORTH,2/3/2024,,5/6/2024,"150 Sudbury st, Toronto, ON, Canada","150 Sudbury St, Toronto, ON M6J 3S8, Canada",43.6415413,-79.4240738,518,
Toronto,Toronto C01,Waterfront Communities C1,2848,,6,3007,17,Bathurst,17 Bathurst St 3007‚ Toronto,M5V 0N1,1,,1,1,1,Open,Condo Apt‚ Apartment,0-499,,Sold,N,,0,,"Concierge, Exercise Room, Guest Suites, Gym, Indoor Pool, Visitor Parking",369.06,1938.86,C8258186,4/22/2024,499000,553000,499000,553000,111,4/26/2024,6/28/2024,4,As Per Builder's Plan,,,,,CENTURY 21 KING`S QUAY REAL ESTATE INC.,4/22/2024,"CENTURY 21 LEADING EDGE REALTY INC., BROKERAGE",5/6/2024,"17 Bathurst st, Toronto, ON, Canada","17 Bathurst St, Toronto, ON M5V 0N1, Canada",43.6376208,-79.3991137,493,
Toronto,Toronto C01,Waterfront Communities C1,2848,,9,709,17,Bathurst,17 Bathurst St 709‚ Toronto,M5V 0N1,1,,1,1,1,Open,Condo Apt‚ Apartment,0-499,0-5,Sold,N,,0,,"Concierge, Guest Suites, Gym, Indoor Pool, Rooftop Deck/Garden, Visitor Parking",342.63,1872,C8231898,4/13/2024,570000,538500,570000,538500,94,4/19/2024,6/14/2024,8,Builder,,,,,NU STREAM REALTY (TORONTO) INC.,4/11/2024,"ROYAL LEPAGE YOUR COMMUNITY REALTY, BROKERAGE",5/6/2024,"17 Bathurst st, Toronto, ON, Canada","17 Bathurst St, Toronto, ON M5V 0N1, Canada",43.6376208,-79.3991137,463,
Toronto,Toronto C01,Waterfront Communities C1,2848,,Ph02,Ph02,17,Bathurst,17 Bathurst St Ph02‚ Toronto,M5V 0N1,3,,3,3,3,Open,Condo Apt‚ Apartment,1400-1599,0-5,Sold,Se,Y,2,Owned,"Concierge, Gym, Media Room, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",1151.43,9674.3,C8210386,4/6/2024,2388000,2300000,2388000,2300000,96,4/30/2024,7/30/2024,24,As Per Floor Plan,,,768480953,,RE/MAX REALTRON AWCT REALTY,4/6/2024,"CENTURY 21 HERITAGE GROUP LTD., BROKERAGE",5/2/2024,"17 Bathurst st, Toronto, ON, Canada","17 Bathurst St, Toronto, ON M5V 0N1, Canada",43.6376208,-79.3991137,1459,
Toronto,Toronto C01,Waterfront Communities C1,0,"Tridel At The Well , Classic Series 1",3,3005,470,Front,470 Front St W 3005‚ Toronto,M5V 0V6,3,,3,3,2,Open,Condo Apt‚ Apartment,1200-1399,New,EXP,Nw,,0,,"Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden",1084,0,C7331894,11/30/2023,1925000,1895000,1895000,,,,,152,"Approx 1,260Sqft As Per The Builder",,,,,THE AGENCY,11/30/2023,,5/1/2024,"470 Front st, Toronto, ON, Canada","470 Front St W, Toronto, ON M5V 0V6, Canada",43.6426557,-79.3960844,1260,
Toronto,Toronto C01,Bay Street Corridor,2279,St Regis,1,3801,311,Bay,311 Bay St 3801‚ Toronto,M5H 4G5,2,,2,2,3,,Condo Apt‚ Apartment,2000-2249,,SUS,Nw,,1,,"Concierge, Exercise Room, Indoor Pool",3924.77,15290,C7394038,1/11/2024,2220000,2080000,2080000,,,,,111,Builder,5/1/2024,,,,HOMELIFE LANDMARK REALTY INC.,1/11/2024,,5/1/2024,"311 Bay st, Toronto, ON, Canada","311 Bay St., Toronto, ON M5H 4G5, Canada",43.6498819,-79.3804115,2085,
Toronto,Toronto C01,Kensington-Chinatown,1551,,18,218,18,Beverley,18 Beverley St 218‚ Toronto,M5T 3L2,1,0,1,1,1,,Condo Apt‚ Apartment,600-699,,EXP,S,,1,,"Concierge, Exercise Room, Guest Suites, Party/Meeting Room, Visitor Parking",664.38,2558.49,C8074244,2/16/2024,639900,639900,639900,,,,,74,Builder Floor Plan(S),,,125510195,1.90E+14,ROYAL LEPAGE BRANT REALTY,2/16/2024,,5/1/2024,"18 Beverley st, Toronto, ON, Canada","18 Beverley St, Toronto, ON M5T 3L2, Canada",43.6505211,-79.3927485,668,2003
