Municipality,Municipality District,Community,Condo Corp#,Building Name,Unit #,Apt/Unit #,Street #,Street Name,Address,Postal Code,Bedrooms,Bedrooms +,Beds,Bedrooms Total,WR,Balcony,Type,SqFt,Approx Age,Status,Exposure,Parking Included,Total Parking Spaces,Locker,Building Amenities,Maintenance,Taxes,MLS#,Listing Entry Date,Original Price,Price,List Price,Sold Price,% Listing Price,Sold Date,Closed Date,DOM,Square Foot Source,Suspended Date,Terminated Date,PIN#,Assessment Roll #,List Brokerage,Contract Date,Co-Operating Brokerage,Last Update Date,Full Address,location,Latitude,Longitude,Area,Reg year
Toronto,Toronto C01,Bay Street Corridor,2529,,3,3103,70,Temperance,70 Temperance St 3103‚ Toronto,M5H 4E8,2,,2,2,1,Open,Comm Element Condo‚ Apartment,600-699,,Sold,Ne,,0,,,492,3200,C8233028,4/14/2024,800000,770000,800000,770000,96,4/26/2024,5/16/2024,12,Floor Plan,,,,1.90E+14,LANDING REALTY INC.,4/14/2024,"ROYAL LEPAGE GOLDEN RIDGE HARBORELITE REALTY, BROKERAGE",5/1/2024,"70 Temperance st, Toronto, ON, Canada","70 Temperance St, Toronto, ON M5H 0B1, Canada",43.6505301,-79.3821482,619,2016
Toronto,Toronto C01,Bay Street Corridor,2529,Indx Condos,4,4004,70,Temperance,70 Temperance St 4004‚ Toronto,M5H 0B1,0,,0,0,1,Open,Condo Apt‚ Apartment,0-499,,TER,E,,0,,,268.78,2057.1,C8263808,4/23/2024,539000,539000,539000,,,,,12,Per Builder's Plan,,5/5/2024,,,HOMELIFE FRONTIER REALTY INC.,4/23/2024,,5/5/2024,"70 Temperance st, Toronto, ON, Canada","70 Temperance St, Toronto, ON M5H 0B1, Canada",43.6505301,-79.3821482,341,2016
Toronto,Toronto C01,Palmerston-Little Italy,2403,707 Lofts,9,209,707,Dovercourt,707 Dovercourt Rd 209‚ Toronto,M6H 0B5,1,1,1+1,2,1,,Condo Apt‚ Apartment,500-599,,TER,W,Y,1,Owned,"Bike Storage, Party/Meeting Room, Visitor Parking",668.48,2311.97,C8179572,3/28/2024,579000,569900,569900,,,,,40,546 Sf Per Mpac,,5/7/2024,,,ROYAL LEPAGE PERFORMANCE REALTY,3/28/2024,,5/7/2024,"707 Dovercourt st, Toronto, ON, Canada","707 Dovercourt Rd, Toronto, ON M6H 0B5, Canada",43.6604896,-79.4287137,,2014
Toronto,Toronto C01,Palmerston-Little Italy,2403,707 Lofts,6,406,707,Dovercourt,707 Dovercourt Rd 406‚ Toronto,M6H 2W7,1,,1,1,1,Open,Condo Apt‚ Apartment,500-599,,Sold,W,Y,1,Owned,"Bike Storage, Party/Meeting Room, Visitor Parking",648.73,2305.3,C8269662,4/25/2024,499900,550000,499900,550000,110,5/5/2024,5/22/2024,10,As Per Plans,,,764030099,1.90E+14,BOSLEY REAL ESTATE LTD.,4/25/2024,"ROYAL LEPAGE REAL ESTATE SERVICES LTD., BROKERAGE",5/6/2024,"707 Dovercourt st, Toronto, ON, Canada","707 Dovercourt Rd, Toronto, ON M6H 0B5, Canada",43.6604896,-79.4287137,550,2014
Toronto,Toronto C01,Bay Street Corridor,1509,Graphic Arts Building,9,409,73,Richmond,73 Richmond St W 409‚ Toronto,M5H 4E8,1,,1,1,1,,Condo Apt‚ Apartment,500-599,,Sold,E,,0,,,607.45,1892.2,C8230244,4/12/2024,488888,545000,488888,545000,111,5/2/2024,6/4/2024,20,Previous Listings,,,,,ROYAL LEPAGE YOUR COMMUNITY REALTY,4/12/2024,"SUTTON GROUP-SECURITY REAL ESTATE INC., BROKERAGE",5/2/2024,"73 Richmond st, Toronto, ON, Canada","Graphic Arts Building, 73 Richmond St W, Toronto, ON M5H 4E8, Canada",43.6506949,-79.3823242,530,
Toronto,Toronto C01,Bay Street Corridor,2444,,6,3506,75,St Nicholas,75 St Nicholas St 3506‚ Toronto,M4Y 0A5,1,,1,1,1,Open,Condo Apt‚ Apartment,500-599,,TER,Nw,Y,1,Owned,"Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden",631.14,3411.3,C8146380,3/15/2024,749000,749000,749000,,,,,48,As Measured,,5/2/2024,764440305,1.90E+14,RIGHT AT HOME REALTY,3/15/2024,,5/2/2024,"75 St Nicholas st, Toronto, ON, Canada","75 St Nicholas St, Toronto, ON M4Y 0A5, Canada",43.6677586,-79.386446,594,2015
Toronto,Toronto C01,Niagara,2320,Minto 775,430W,430W,775,King,775 King St W 430W‚ Toronto,M5V 2K3,1,1,1+1,2,1,Terr,Condo Apt‚ Apartment,700-799,,TER,S,Y,1,Owned,"Concierge, Exercise Room, Visitor Parking",452,3011.56,C8083450,2/21/2024,799900,829990,829990,,,,,71,Other,,5/2/2024,763200121,1.90E+14,KELLER WILLIAMS HOME GROUP REALTY,2/21/2024,,5/2/2024,"775 King st, Toronto, ON, Canada","775 King St W, Toronto, ON M5V 2K3, Canada",43.643022,-79.4061843,725,
Toronto,Toronto C01,Waterfront Communities C1,2460,The Mercer,10,1210,8,Mercer,8 Mercer St 1210‚ Toronto,M5V 0C4,1,,1,1,1,Open,Condo Apt‚ Apartment,500-599,,TER,W,,0,Owned,"Concierge, Gym, Rooftop Deck/Garden, Sauna",342.59,2631.78,C8255626,4/21/2024,599000,599000,599000,,,,,12,Floorplan,,5/3/2024,,,RIGHT AT HOME REALTY,4/21/2024,,5/3/2024,"8 Mercer st, Toronto, ON, Canada","8 Mercer St, Toronto, ON M5V 0C4, Canada",43.6459498,-79.3897558,503,
Toronto,Toronto C01,Niagara,338,,2,202,829,Richmond,829 Richmond St W 202‚ Toronto,M6J 3P7,3,1,3+1,4,2,Open,Condo Townhouse‚ 3-Storey,1200-1399,,EXP,N,,1,Ensuite,,84,4070.93,C8026578,1/26/2024,859900,859900,859900,,,,,95,1321,,,113380007,1.90E+14,REAL ESTATE ADVISORS INC.,1/26/2024,,5/1/2024,"829 Richmond st, Toronto, ON, Canada","829 Richmond St W, Toronto, ON M6J 3P7, Canada",43.644396,-79.4110582,1321,
Toronto,Toronto C01,Niagara,2322,King West Condos,74,602,85,East Liberty,85 East Liberty St 602‚ Toronto,M6K 0A2,1,1,1+1,2,2,Open,Condo Apt‚ Apartment,700-799,,TER,W,Y,1,Exclusive,"Concierge, Games Room, Guest Suites, Indoor Pool",605.6,2598.47,C8216878,4/9/2024,599900,729900,729900,,,,,22,739,,5/1/2024,763220862,1.90E+14,OUR NEIGHBOURHOOD REALTY INC.,4/9/2024,,5/1/2024,"85 East Liberty st, Toronto, ON, Canada","85 E Liberty St, Toronto, ON M6K 3R4, Canada",43.6381606,-79.4155672,739,
