Municipality,Municipality District,Community,Condo Corp#,Building Name,Unit #,Apt/Unit #,Street #,Street Name,Address,Postal Code,Bedrooms,Bedrooms +,Beds,Bedrooms Total,WR,Balcony,Type,SqFt,Approx Age,Status,Exposure,Parking Included,Total Parking Spaces,Locker,Building Amenities,Maintenance,Taxes,MLS#,Listing Entry Date,Original Price,Price,List Price,Sold Price,% Listing Price,Sold Date,Closed Date,DOM,Square Foot Source,Suspended Date,Suspended Entry Date,Terminated Date,Terminated Entry Date,PIN#,Assessment Roll #,List Brokerage,Contract Date,Co-Operating Brokerage,Last Update Date
Toronto,Toronto C01,Waterfront Communities C1,2157,,18,721,10,Capreol,10 Capreol Crt 721Â Toronto,M5V 4B3,1,1,1Â +Â 1,2,2,Open,Condo AptÂ Apartment,600-699,,Sold,N,Y,1,Owned,"Concierge, Gym, Indoor Pool, Party/Meeting Room",618.84,2591.8,C8163608,3/21/2024,659000,635000,659000,635000,96,4/24/2024,7/17/2024,34,691 Sq Ft Builder's Plan,,,,,761570221,1.90E+14,PROMPTON REAL ESTATE SERVICES CORP.,3/21/2024,"SEARCH REALTY, BROKERAGE",5/3/2024
Toronto,Toronto C01,Waterfront Communities C1,2416,,7,3608,101,Peter,101 Peter St W 3608Â Toronto,M5V 0G6,1,,1,1,1,Open,Condo AptÂ Apartment,500-599,,TER,S,,0,,"Concierge, Exercise Room, Gym, Party/Meeting Room",391.12,2411.92,C8125810,3/8/2024,638880,638880,638880,,,,,61,Mpac,,,5/8/2024,5/8/2024,764160504,1.90E+14,ROYAL TEAM REALTY INC.,3/8/2024,,5/8/2024
Toronto,Toronto C01,University,2405,,10,410,783,Bathurst,783 Bathurst St 410Â Toronto,M5S 0A8,1,,1,1,1,Open,Condo AptÂ Apartment,500-599,,Sold,E,Y,1,,,592.9,2745,C8198660,4/3/2024,639500,639500,639500,639500,100,5/2/2024,7/5/2024,29,As Per Seller,,,,,,,CENTURY 21 REGAL REALTY INC.,4/3/2024,"CHESTNUT PARK REAL ESTATE LIMITED, BROKERAGE",5/3/2024
Toronto,Toronto C01,Niagara,2915,,7,2307,135,East Liberty,135 East Liberty St 2307Â Toronto,M6K 0G7,1,1,1Â +Â 1,2,1,Open,Condo AptÂ Apartment,600-699,0-5,TER,Nw,,0,Owned,,563.98,2944.93,C8220502,4/10/2024,639900,639900,639900,,,,,28,Builder Floor Plan,,,5/8/2024,5/8/2024,769150218,1.90E+14,HOME STANDARDS BRICKSTONE REALTY,4/10/2024,,5/8/2024
Toronto,Toronto C01,Waterfront Communities C1,2510,,2003,2003,12,York,12 York St 2003Â Toronto,M5J 2Z2,1,1,1Â +Â 1,2,1,,Condo AptÂ Apartment,600-699,,SUS,S,,0,,"Concierge, Gym, Indoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Sauna",504.84,3111.5,C8039054,2/1/2024,639999,639999,639999,,,,,95,As Per Floor Plan,5/5/2024,5/6/2024,,,,,TOP ASSETS REALTY INC.,1/31/2024,,5/6/2024
Toronto,Toronto C01,Niagara,1754,Aquarius At Waterpark City,5,305,219,Fort York,219 Fort York Blvd 305Â Toronto,M5V 1B1,1,1,1Â +Â 1,2,1,Open,Condo AptÂ Apartment,600-699,16-30,Sold,E,Y,1,,"Concierge, Gym, Indoor Pool, Party/Meeting Room, Sauna, Visitor Parking",608.87,2385.2,C8248956,4/18/2024,649000,644000,649000,644000,99,5/7/2024,7/11/2024,19,686 Sq Ft,,,,,127540028,1.90E+14,ON THE BLOCK,4/18/2024,"REAL BROKER ONTARIO LTD., BROKERAGE",5/7/2024
Toronto,Toronto C01,Little Portugal,0,,2,1902E,36,Lisgar,36 Lisgar St 1902EÂ Toronto,M6J 3G2,2,,2,2,2,,Condo AptÂ Apartment,600-699,,TER,E,,0,,"Concierge, Gym, Party/Meeting Room",521,1739,C8140368,3/14/2024,649000,649000,649000,,,,,51,Previous Listing,,,5/4/2024,5/4/2024,764480731,1.90E+14,EXECUTIVE REAL ESTATE SERVICES LTD.,3/14/2024,,5/4/2024
Toronto,Toronto C01,Kensington-Chinatown,2497,,4,804,15,Beverley,15 Beverley St 804Â Toronto,M5T 0B3,1,,1,1,1,Open,Condo AptÂ Apartment,600-699,,TER,Ne,,0,,"Concierge, Gym, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",753.88,2924.96,C8122054,3/7/2024,669000,649000,649000,,,,,60,Owner,,,5/6/2024,5/6/2024,764970193,1.90E+14,RIGHT AT HOME REALTY,3/7/2024,,5/6/2024
Toronto,Toronto C01,Niagara,2249,,12,1712,150,Sudbury,150 Sudbury St 1712Â Toronto,M6J 3S8,1,1,1Â +Â 1,2,1,Open,Condo AptÂ Loft,600-699,,TER,S,Y,1,,"Bike Storage, Guest Suites, Gym, Indoor Pool, Party/Meeting Room",493.65,1236.5,C8174730,3/26/2024,659900,649900,649900,,,,,42,Previous Listings,,,5/6/2024,5/7/2024,,,RE/MAX HALLMARK CORBO & KELOS GROUP REALTY LTD.,3/25/2024,,5/7/2024
Toronto,Toronto C01,Waterfront Communities C1,2458,,14,1602,85,Queens Wharf,85 Queens Wharf Rd 1602Â Toronto,M5V 0J9,1,1,1Â +Â 1,2,1,Open,Condo AptÂ Apartment,700-799,2024-06-10 0:00,Sold,S,,0,Owned,"Concierge, Gym, Indoor Pool, Media Room, Party/Meeting Room, Visitor Parking",539.74,2971.69,C8065368,2/13/2024,639900,650000,679900,650000,96,5/2/2024,5/30/2024,79,Builder's Floor Plan,,,,,,,LANDPOWER REAL ESTATE LTD.,2/13/2024,"BAY STREET GROUP INC., BROKERAGE",5/3/2024
Toronto,Toronto C01,Waterfront Communities C1,2963,,1,3401,357,King,357 King St W 3401Â Toronto,M5V 0S7,1,,1,1,1,,Condo AptÂ Apartment,500-599,,TER,N,,0,,,347.13,2538.5,C8130056,3/10/2024,650000,650000,650000,,,,,54,523 Sqf Per Builder's Plan,,,5/3/2024,5/3/2024,,,RE/MAX REALTRON WENDY ZHENG REALTY,3/10/2024,,5/3/2024
Toronto,Toronto C01,Waterfront Communities C1,2016,Montage,1007,1007,25,Telegram Mews,25 Telegram Mews St 1007Â Toronto,M5V 3Z1,1,1,1Â +Â 1,2,1,Open,Condo AptÂ Apartment,600-699,,Sold,S,,1,Owned,"Concierge, Gym, Indoor Pool, Media Room, Rooftop Deck/Garden, Visitor Parking",427.3,2485.2,C8225458,4/11/2024,569000,650000,569000,650000,114,5/6/2024,5/28/2024,25,600-699,,,,,130160098,1.90E+14,RE/MAX REALTRON REALTY INC.,4/11/2024,"EXP REALTY, BROKERAGE",5/7/2024
Toronto,Toronto C01,Waterfront Communities C1,2824,,1,1501,125,Blue Jays,125 Blue Jays Way S 1501Â Toronto,M5V 0N5,1,1,1Â +Â 1,2,1,Open,Condo AptÂ Apartment,500-599,0-5,TER,S,,0,Owned,"Concierge, Exercise Room, Indoor Pool, Rooftop Deck/Garden, Visitor Parking",453.99,2578.4,C7383912,1/8/2024,720000,650000,650000,,,,,119,Seller,,,5/3/2024,5/3/2024,,,ALAN NEWTON REAL ESTATE LTD.,1/5/2024,,5/3/2024
Toronto,Toronto C01,Kensington-Chinatown,2497,,3,503,15,Beverley,15 Beverley St 503Â Toronto,M5T 0B3,1,,1,1,1,Terr,Condo AptÂ Apartment,600-699,,EXP,N,Y,1,Exclusive,"Bbqs Allowed, Exercise Room, Media Room, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden",909.15,3150,C8044184,2/5/2024,679900,665000,665000,,,,,90,Mpac,,,,,764970064,1.90E+14,KELLER WILLIAMS REFERRED URBAN REALTY,2/2/2024,,5/3/2024
Toronto,Toronto C01,Niagara,2872,,36,736,38,Iannuzzi,38 Iannuzzi St 736Â Toronto,M5V 0S2,1,1,1Â +Â 1,2,1,Open,Condo AptÂ Apartment,500-599,,Sold,Nw,Y,1,,"Concierge, Guest Suites, Gym, Media Room, Party/Meeting Room, Visitor Parking",455.66,2618,C8266702,4/24/2024,499998,665736,499998,665736,133,5/2/2024,5/31/2024,8,Mpac,,,,,,,ROYAL LEPAGE REAL ESTATE SERVICES LTD.,4/24/2024,"SUTTON GROUP QUANTUM REALTY INC., BROKERAGE",5/6/2024
Toronto,Toronto C01,Niagara,2138,,2,602,90,Stadium,90 Stadium Rd 602Â Toronto,M5V 3W5,1,1,1Â +Â 1,2,1,Open,Condo AptÂ Apartment,600-699,,TER,W,Y,1,Owned,"Car Wash, Concierge, Exercise Room, Guest Suites, Media Room, Visitor Parking",650.28,2458.5,C8267850,4/24/2024,669888,669888,669888,,,,,13,Management,,,5/7/2024,5/7/2024,761380127,1.90E+14,ROYAL LEPAGE SIGNATURE REALTY,4/24/2024,,5/7/2024
Toronto,Toronto C01,Waterfront Communities C1,0,543 Richmond Residences At Portland,42,542,543,Richmond,543 Richmond St W 542Â Toronto,M5V 1Y6,1,1,1Â +Â 1,2,2,Open,Condo AptÂ Apartment,600-699,New,TER,W,,0,,"Concierge, Gym, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden",450,0,C8151386,3/18/2024,669990,669990,669990,,,,,49,685 As Per Builder,,,5/6/2024,5/7/2024,,,HARLOWE REALTY CORPORATION,3/18/2024,,5/7/2024
Toronto,Toronto C01,Niagara,1848,,12,712,231,Fort York,231 Fort York Blvd 712Â Toronto,M5V 1B2,1,1,1Â +Â 1,2,1,Open,Condo AptÂ Apartment,600-699,16-30,Sold,W,Y,1,Owned,"Bbqs Allowed, Concierge, Exercise Room, Guest Suites, Gym, Indoor Pool",638.64,2325.3,C8234806,4/15/2024,718888,674888,698888,674888,97,4/30/2024,5/30/2024,15,662 Mpac,,,,,,,CENTURY 21 LEADING EDGE REALTY INC.,4/15/2024,"SAGE REAL ESTATE LIMITED, BROKERAGE",5/3/2024
Toronto,Toronto C01,Waterfront Communities C1,2573,Studio 2,7,507,30,Nelson,30 Nelson St 507Â Toronto,M5V 0H5,1,1,1Â +Â 1,2,1,Terr,Condo AptÂ Apartment,600-699,2024-06-10 0:00,Sold,N,,0,Owned,"Concierge, Games Room, Guest Suites, Gym, Party/Meeting Room, Rooftop Deck/Garden",556.35,2691,C8121626,3/7/2024,715000,677500,699900,677500,97,4/19/2024,6/11/2024,43,Plan,,,,,765730099,1.90E+14,RIGHT AT HOME REALTY,3/7/2024,"RARE REAL ESTATE, BROKERAGE",5/3/2024
Toronto,Toronto C01,Kensington-Chinatown,0,,20,920,238,Simcoe,238 Simcoe St 920Â Toronto,M5T 3B9,1,1,1Â +Â 1,2,1,Open,Condo AptÂ Apartment,600-699,New,TER,N,,0,,"Bike Storage, Concierge, Gym, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden",403.34,0,C8248160,4/18/2024,680000,680000,680000,,,,,15,Builder,,,5/3/2024,5/3/2024,,,ROYAL LEPAGE PEACELAND REALTY,4/18/2024,,5/3/2024
Toronto,Toronto C01,Waterfront Communities C1,0,543 Richmond Residences At Portland,29,629,543,Richmond,543 Richmond St W 629Â Toronto,M5V 1Y6,1,1,1Â +Â 1,2,2,Open,Condo AptÂ Apartment,600-699,New,TER,E,,0,,"Concierge, Gym, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden",414.01,0,C8102428,2/29/2024,688000,688000,688000,,,,,67,625 As Per Builder,,,5/6/2024,5/6/2024,,,HARLOWE REALTY CORPORATION,2/29/2024,,5/6/2024
Toronto,Toronto C01,Waterfront Communities C1,2553,Oneeleven,21,521,111,Bathurst,111 Bathurst St 521Â Toronto,M5V 0H7,1,,1,1,1,Open,Condo AptÂ Apartment,600-699,New,TER,E,Y,1,Owned,"Bbqs Allowed, Concierge, Party/Meeting Room, Rooftop Deck/Garden",427.63,3065,C8226668,4/11/2024,599900,689000,689000,,,,,23,Mpac,,,5/4/2024,5/4/2024,,,CONDOSKY REALTY INC.,4/11/2024,,5/4/2024
Toronto,Toronto C01,Waterfront Communities C1,1288,,7,717E,500,Queens,500 Queens Quay W 717EÂ Toronto,M5V 3K8,1,1,1Â +Â 1,2,1,,Condo AptÂ Apartment,700-799,,Sold,Nw,Y,1,Owned,"Concierge, Gym, Party/Meeting Room, Sauna, Visitor Parking",745.51,2578.46,C8261348,4/23/2024,699000,690000,699000,690000,99,5/3/2024,7/10/2024,10,Floor Plans,,,,,,,SAGE REAL ESTATE LIMITED,4/23/2024,"CENTURY 21 ATRIA REALTY INC., BROKERAGE",5/3/2024
Toronto,Toronto C01,Waterfront Communities C1,2097,,10,816,38,Dan Leckie,38 Dan Leckie Way 816Â Toronto,M5V 2V6,1,1,1Â +Â 1,2,1,Open,Condo AptÂ Apartment,600-699,2024-11-15 0:00,TER,Ns,Y,1,Owned,,431.57,4410.8,C8024522,1/26/2024,698000,698000,698000,,,,,98,Builder Floorplan,,,5/3/2024,5/6/2024,130970148,1.90E+14,ROYAL LEPAGE REAL ESTATE SERVICES LTD.,1/26/2024,,5/6/2024
Toronto,Toronto C01,Waterfront Communities C1,2700,Noir Condos,6,4206,87,Peter,87 Peter St 4206Â Toronto,M5V 0P1,1,,1,1,1,Open,Condo AptÂ Apartment,500-599,0-5,TER,Nw,,0,Owned,"Concierge, Games Room, Guest Suites, Gym, Party/Meeting Room, Rooftop Deck/Garden",427.17,2578.48,C8053122,2/8/2024,699000,699000,699000,,,,,88,As Per Builder,,,5/6/2024,5/6/2024,767000791,1.90E+14,RIGHT AT HOME REALTY,2/8/2024,,5/6/2024
Toronto,Toronto C01,Waterfront Communities C1,2510,I C E Condos,18,2908,14,York,14 York St 2908Â Toronto,M5J 0B1,2,,2,2,2,Open,Condo AptÂ Apartment,700-799,2024-06-10 0:00,TER,Nw,Y,1,Owned,"Concierge, Gym, Indoor Pool, Party/Meeting Room, Visitor Parking",772.74,4124.2,C8259554,4/22/2024,699999,699999,699999,,,,,15,Builder,,,5/7/2024,5/7/2024,,,CENTURY 21 CONDOPROMO REALTY,4/22/2024,,5/7/2024
Toronto,Toronto C01,Trinity-Bellwoods,2424,,44,1044,1030,King,1030 King St W 1044Â Toronto,M6K 0B4,1,1,1Â +Â 1,2,1,Encl,Condo AptÂ Apartment,600-699,,TER,E,Y,1,,,487.1,2658.44,C8073364,2/16/2024,715000,715000,715000,,,,,82,640 Sf As Per Builders Floorplan,,,5/7/2024,5/8/2024,,,THE BEHAR GROUP REALTY INC.,2/15/2024,,5/8/2024
Toronto,Toronto C01,Waterfront Communities C1,2155,Festival Tower,7,3607,80,John,80 John St 3607Â Toronto,M5V 3X4,1,1,1Â +Â 1,2,1,Open,Condo AptÂ Apartment,600-699,,TER,Ne,,0,Owned,"Concierge, Exercise Room, Gym, Indoor Pool, Party/Meeting Room, Rooftop Deck/Garden",657.66,2898.2,C8094228,2/26/2024,719900,719900,719900,,,,,69,Original Fp 627 Sqft + Balcony,,,5/5/2024,5/7/2024,,1.90E+14,PSR,2/26/2024,,5/7/2024
Toronto,Toronto C01,Waterfront Communities C1,288,Harbour Square,13,3234,33,Harbour,33 Harbour Sq 3234Â Toronto,M5J 2G2,1,,1,1,1,Jlte,Comm Element CondoÂ 2-Storey,1000-1199,,Sold,Ne,Y,1,,"Concierge, Exercise Room, Guest Suites, Indoor Pool, Rooftop Deck/Garden, Squash/Racquet Court",990,4368,C8276140,4/26/2024,749000,726000,749000,726000,97,5/8/2024,6/18/2024,12,Condo Corp,,,,,,,IPRO REALTY LTD.,4/26/2024,"SAVE MAX LAKEVIEW REALTY, BROKERAGE",5/8/2024
Toronto,Toronto C01,Niagara,2424,Dna3,16,1116,1030,King,1030 King St W 1116Â Toronto,M6K 0B4,1,1,1Â +Â 1,2,2,Terr,Condo AptÂ Loft,700-799,,TER,W,Y,1,,,534.24,2904.9,C8042596,2/3/2024,729000,729000,729000,,,,,91,680,,,5/3/2024,5/3/2024,764240630,1.90E+14,RE/MAX PREMIER INC.,2/2/2024,,5/3/2024
Toronto,Toronto C01,Waterfront Communities C1,3008,,17,4115,108,Peter,108 Peter St 4115Â Toronto,M5V 0W2,1,1,1Â +Â 1,2,1,Open,Condo AptÂ Apartment,600-699,,TER,N,,0,,"Concierge, Gym, Outdoor Pool, Rooftop Deck/Garden",332.16,3730.3,C8152474,3/18/2024,739800,729800,729800,,,,,46,Floorplan,,,5/3/2024,5/3/2024,,,ROYAL LEPAGE SIGNATURE CONNECT.CA REALTY,3/18/2024,,5/3/2024
Toronto,Toronto C01,Waterfront Communities C1,2560,,6,1206,125,Peter,125 Peter St 1206Â Toronto,M5V 0M2,1,1,1Â +Â 1,2,1,Open,Condo AptÂ Apartment,500-599,,EXP,N,,1,Owned,"Concierge, Exercise Room, Guest Suites, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",499.1,2858.32,C8110098,3/3/2024,738000,738000,738000,,,,,64,As Per Builder,,,,,,,HOMELIFE GOLCONDA REALTY INC.,3/3/2024,,5/7/2024
Toronto,Toronto C01,Niagara,2792,,9,1720,19,Western Battery,19 Western Battery Rd E 1720Â Toronto,M6X 3S4,1,1,1Â +Â 1,2,2,Open,Condo AptÂ Apartment,600-699,0-5,SUS,Ne,,1,,"Bbqs Allowed, Concierge, Guest Suites, Gym, Indoor Pool, Rooftop Deck/Garden",598.76,2943.79,C8126750,3/8/2024,7599900,739990,739990,,,,,61,Builder,5/8/2024,5/8/2024,,,,,KINGSWAY REAL ESTATE,3/8/2024,,5/8/2024
Toronto,Toronto C01,Waterfront Communities C1,2824,,9,310,115,Blue Jays,115 Blue Jays Way 310Â Toronto,M5V 0N4,2,1,2Â +Â 1,3,1,Open,Condo AptÂ Apartment,600-699,,TER,S,,0,,"Concierge, Exercise Room, Gym, Indoor Pool, Recreation Room, Rooftop Deck/Garden",514.46,3031.55,C8212666,4/8/2024,815000,746000,746000,,,,,29,Owner,,,5/7/2024,5/7/2024,768240009,1.90E+14,ICI SOURCE REAL ASSET SERVICES INC.,4/8/2024,,5/7/2024
Toronto,Toronto C01,Niagara,2859,,11,911,49,East Liberty,49 East Liberty St 911Â Toronto,M6K 0B2,2,,2,2,2,,Condo AptÂ Apartment,700-799,0-5,TER,Ne,,0,Owned,"Concierge, Gym, Outdoor Pool, Party/Meeting Room, Sauna, Visitor Parking",425.56,2500,C8200300,4/3/2024,749000,749000,749000,,,,,34,Previous Listing,,,5/7/2024,5/8/2024,,,RIGHT AT HOME REALTY EXCELLENCE,4/3/2024,,5/8/2024
Toronto,Toronto C01,Waterfront Communities C1,2460,,12,313,8,Mercer,8 Mercer St 313Â Toronto,M5V 0C4,1,1,1Â +Â 1,2,2,Open,Condo AptÂ Apartment,700-799,2024-06-10 0:00,TER,S,,0,,"Concierge, Exercise Room, Recreation Room, Rooftop Deck/Garden, Sauna, Visitor Parking",446.28,3457.96,C8264884,4/24/2024,749000,749000,749000,,,,,13,As Per Floorplan,,,5/7/2024,5/8/2024,764600030,1.90E+14,RE/MAX ELITE REAL ESTATE,4/24/2024,,5/8/2024
Toronto,Toronto C01,Niagara,2322,,51,709,75,East Liberty,75 East Liberty St 709Â Toronto,M6K 3R3,2,,2,2,2,Open,Condo AptÂ Apartment,700-799,,TER,Sw,Y,1,Owned,"Concierge, Exercise Room, Games Room, Indoor Pool, Visitor Parking",605.6,2605.1,C8239012,4/16/2024,749000,749000,749000,,,,,21,Per Builder's Plan,,,5/7/2024,5/8/2024,,,CITY PLUS REALTY INC.,4/16/2024,,5/8/2024
Toronto,Toronto C01,Bay Street Corridor,2525,U Condominiums,10,4101,1080,Bay,1080 Bay St 4101Â Toronto,M5S 0A6,1,,1,1,1,Open,Condo AptÂ Apartment,500-599,2024-06-10 0:00,TER,E,,0,,"Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",391.75,2798.2,C8238392,4/16/2024,749990,749990,749990,,,,,17,Builder,,,5/3/2024,5/3/2024,,,EXPRESS REALTY INC.,4/16/2024,,5/3/2024
Toronto,Toronto C01,Waterfront Communities C1,1598,Waterclub,3,3003,8,York,8 York St 3003Â Toronto,M5J 2Y2,1,1,1Â +Â 1,2,2,Open,Comm Element CondoÂ Apartment,700-799,16-30,TER,Se,,0,Owned,"Bbqs Allowed, Concierge, Exercise Room, Gym, Indoor Pool, Party/Meeting Room",594.87,2491.87,C8268382,4/24/2024,750000,750000,750000,,,,,14,As Per Landlord/Floor Plan,,,5/8/2024,5/8/2024,125980515,1.90E+14,HOMELIFE/FUTURE REALTY INC.,4/24/2024,,5/8/2024
Toronto,Toronto C01,Waterfront Communities C1,2016,"Montage L E (""Luxury Edition"" Section)",10,3211,25,Telegram,25 Telegram Mews 3211Â Toronto,M5V 3Z1,2,1,2Â +Â 1,3,2,Open,Condo AptÂ Apartment,700-799,,Sold,N,Y,1,Owned,"Concierge, Exercise Room, Guest Suites, Indoor Pool, Party/Meeting Room, Visitor Parking",624.35,2838.33,C8031740,1/30/2024,789000,755000,779000,755000,97,5/2/2024,6/19/2024,93,783 Sf + 35 Sf Balcony (Builder Flr Pln),,,,,,,RE/MAX CONDOS PLUS CORPORATION,1/30/2024,"CENTURY 21 LEADING EDGE REALTY INC., BROKERAGE",5/3/2024
Toronto,Toronto C01,Niagara,2177,Bliss Condominiums,11,911,55,East Liberty,55 East Liberty St 911Â Toronto,M6K 3P9,1,1,1Â +Â 1,2,2,Open,Condo AptÂ 2-Storey,700-799,2024-11-15 0:00,TER,S,Y,1,,"Bike Storage, Car Wash, Concierge, Guest Suites, Gym, Indoor Pool",629.61,2738.28,C8278242,4/28/2024,759000,759000,759000,,,,,9,775Sqft,,,5/7/2024,5/7/2024,761770151,1.90E+14,RIGHT AT HOME REALTY,4/28/2024,,5/7/2024
Toronto,Toronto C01,Waterfront Communities C1,2266,Six 50 Lofts,17,517,95,Bathurst,95 Bathurst St 517Â Toronto,M5V 0H7,1,,1,1,1,Open,Condo AptÂ Apartment,700-799,,TER,Se,Y,1,Owned,"Bbqs Allowed, Concierge, Gym, Rooftop Deck/Garden",516.33,3018.2,C8222400,4/10/2024,765000,765000,765000,,,,,23,705 Sf + 291 Sf Balcony As Per Plans,,,5/3/2024,5/3/2024,,,PSR,4/10/2024,,5/3/2024
Toronto,Toronto C01,Waterfront Communities C1,2155,,3,3603,80,John,80 John St 3603Â Toronto,M5V 3X4,1,1,1Â +Â 1,2,1,Open,Condo AptÂ Apartment,600-699,,TER,Sw,Y,1,Owned,,803.44,3477.9,C8191432,4/2/2024,769000,769000,769000,,,,,36,Builder,,,5/8/2024,5/8/2024,,,FOREST HILL REAL ESTATE INC.,4/2/2024,,5/8/2024
Toronto,Toronto C01,Waterfront Communities C1,2593,Musee,4,206,525,Adelaide,525 Adelaide St W 206Â Toronto,M5V 0N7,1,1,1Â +Â 1,2,2,Open,Condo AptÂ Apartment,600-699,2024-06-10 0:00,Sold,Nw,Y,1,Owned,"Concierge, Exercise Room, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Sauna",450,2525.1,C8153364,3/19/2024,780000,780000,780000,780000,100,5/6/2024,6/25/2024,48,Per Floor Plan,,,,,765930018,1.90E+14,FERROW REAL ESTATE INC.,3/19/2024,"ROYAL LEPAGE FLOWER CITY REALTY, BROKERAGE",5/6/2024
Toronto,Toronto C01,Waterfront Communities C1,2593,,33,1233,525,Adelaide,525 Adelaide St W 1233Â Toronto,M5V 0N7,1,1,1Â +Â 1,2,2,Open,Condo AptÂ Apartment,600-699,,SUS,W,Y,1,Owned,"Concierge, Gym, Media Room, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden",469,2685,C8168924,3/24/2024,780000,780000,780000,,,,,41,As Per Builder,5/4/2024,5/4/2024,,,,,BAY STREET GROUP INC.,3/24/2024,,5/4/2024
Toronto,Toronto C01,Niagara,2433,,8,308,35,Bastion,35 Bastion St 308Â Toronto,M5V 0C2,2,,2,2,2,Open,Condo AptÂ Apartment,700-799,,Sold,S,Y,1,Owned,,653.74,2691.75,C8291922,5/1/2024,780000,785000,780000,785000,101,5/5/2024,6/28/2024,4,Previous Listing,,,,,764330113,1.90E+14,KELLER WILLIAMS ENERGY REAL ESTATE,5/1/2024,"NON-TRREB BOARD OFFICE, BROKERAGE",5/8/2024
Toronto,Toronto C01,Waterfront Communities C1,1788,,1,1701,16,Yonge,16 Yonge St 1701Â Toronto,M5E 2A1,2,,2,2,2,Open,Condo AptÂ Apartment,800-899,2024-06-10 0:00,Sold,W,Y,1,Owned,"Bbqs Allowed, Bus Ctr (Wifi Bldg), Party/Meeting Room, Rooftop Deck/Garden, Squash/Racquet Court",697.36,3251.42,C8039946,2/2/2024,819900,790000,819900,790000,96,4/26/2024,5/31/2024,85,799 Sqft Interior + 43 Sqft Exterior,,,,,,1.90E+14,RE/MAX PLUS CITY TEAM INC.,2/1/2024,"PROPERTY.CA INC., BROKERAGE",5/6/2024
Toronto,Toronto C01,Waterfront Communities C1,1438,Matrix,13,215,361,Front,361 Front St W 215Â Toronto,M5V 3R5,2,1,2Â +Â 1,3,2,Open,Condo AptÂ Apartment,900-999,,Sold,Sw,Y,1,Owned,,763.68,2811,C8246924,4/18/2024,799900,795000,799900,795000,99,5/2/2024,8/5/2024,15,873 +54,,,,,,,REALTY ONE GROUP REVEAL,4/17/2024,"EXP REALTY, BROKERAGE",5/4/2024
Toronto,Toronto C01,Waterfront Communities C1,2510,,10,4810,12,York,12 York St 4810Â Toronto,M5J 0A9,2,1,2Â +Â 1,3,2,Open,Condo AptÂ Apartment,700-799,,TER,Ne,Y,1,Owned,"Concierge, Gym, Indoor Pool, Media Room, Party/Meeting Room, Sauna",742.62,3981.18,C8055066,2/8/2024,799800,799800,799800,,,,,86,770 Sq Ft,,,5/4/2024,5/4/2024,,,RIGHT AT HOME REALTY,2/8/2024,,5/4/2024
Toronto,Toronto C01,Waterfront Communities C1,1517,,3,2903,397,Front,397 Front St W 2903Â Toronto,M5V 3S1,2,1,2Â +Â 1,3,2,Terr,Condo AptÂ Apartment,900-999,,Sold,Sw,Y,1,,"Car Wash, Concierge, Exercise Room, Gym, Indoor Pool, Party/Meeting Room",755.33,4637,C8276444,4/26/2024,749900,820000,749900,820000,109,5/6/2024,6/12/2024,15,Floor Plan,,,,,125170605,1.90E+14,JDL REALTY INC.,4/21/2024,"RIGHT AT HOME REALTY, BROKERAGE",5/7/2024
Toronto,Toronto C01,Kensington-Chinatown,2856,,5,2201,203,College,203 College St 2201Â Toronto,M5T 0C8,1,1,1Â +Â 1,2,1,,Condo AptÂ Apartment,500-599,0-5,Sold,N,,0,,,512.17,3098.18,C8275366,4/26/2024,799000,831000,799000,831000,104,5/6/2024,6/26/2024,10,As Per Builder's Floor Plan,,,,,768560164,1.90E+14,HC REALTY GROUP INC.,4/26/2024,"MASTER`S TRUST REALTY INC., BROKERAGE",5/7/2024
Toronto,Toronto C01,Waterfront Communities C1,2744,,8,821E,576,Front,576 Front St W 821EÂ Toronto,M5V 1C1,2,,2,2,2,Open,Condo AptÂ Apartment,700-799,,TER,W,,1,,"Concierge, Guest Suites, Gym, Outdoor Pool, Rooftop Deck/Garden, Visitor Parking",562.72,3491.27,C8243900,4/17/2024,849800,849800,849800,,,,,19,Floorplan,,,5/6/2024,5/6/2024,,1.90E+13,RE/MAX REGAL HOMES,4/17/2024,,5/6/2024
Toronto,Toronto C01,Kensington-Chinatown,1794,The Gardens At Queen,115,17,88,Carr,88 Carr St 17Â Toronto,M5T 1B7,2,,2,2,2,Terr,Condo TownhouseÂ 2-Storey,900-999,16-30,Sold,Se,Y,1,Owned,"Bbqs Allowed, Bike Storage, Visitor Parking",650,3028,C8266224,4/24/2024,849900,849900,849900,849900,100,5/2/2024,6/13/2024,8,Prev Listing,,,,,127940115,1.90E+14,RE/MAX REAL ESTATE CENTRE INC.,4/24/2024,"KELLER WILLIAMS REAL ESTATE ASSOCIATES, BROKERAGE",5/3/2024
