Municipality,Municipality District,Community,Condo Corp#,Building Name,Unit #,Apt/Unit #,Street #,Street Name,Address,Postal Code,Bedrooms,Bedrooms +,Beds,Bedrooms Total,WR,Balcony,Type,SqFt,Approx Age,Status,Exposure,Parking Included,Total Parking Spaces,Locker,Building Amenities,Maintenance,Taxes,MLS#,Listing Entry Date,Original Price,Price,List Price,Sold Price,% Listing Price,Sold Date,Closed Date,DOM,Square Foot Source,Suspended Date,Suspended Entry Date,Terminated Date,Terminated Entry Date,PIN#,Assessment Roll #,List Brokerage,Contract Date,Co-Operating Brokerage,Last Update Date
Toronto,Toronto C01,Waterfront Communities C1,2562,Local At Fort York,9,710,50,Bruyeres,50 Bruyeres Mews 710Â Toronto,M5V 0H8,1,,1,1,1,Open,Condo AptÂ Apartment,500-599,2024-06-10 0:00,Sold,N,,0,Owned,"Gym, Party/Meeting Room, Security Guard, Security System, Visitor Parking",438.5,1845.5,C7340508,12/5/2023,449000,500000,510000,500000,98,12/29/2023,2/1/2024,24,Floor Plan,,,,,214180264,,PSR,12/5/2023,"RE/MAX PREMIER INC., BROKERAGE",1/2/2024
Toronto,Toronto C01,Waterfront Communities C1,2206,,7,1008,375,King,375 King St W 1008Â Toronto,M5V 1K5,1,,1,1,1,Open,Condo AptÂ Apartment,500-599,2024-11-15 0:00,Sold,N,,0,,"Bbqs Allowed, Concierge, Exercise Room, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",397.84,2298.6,C7337060,12/2/2023,519000,510000,519000,510000,98,12/15/2023,1/31/2024,13,Per Builer,,,,,214130176,,CENTURY 21 KING`S QUAY REAL ESTATE INC.,12/2/2023,"RE/MAX WEST REALTY INC., BROKERAGE",1/3/2024
Toronto,Toronto C01,Waterfront Communities C1,2691,Exchange Condo,22,301,90,Queens Wharf,90 Queens Wharf Rd 301Â Toronto,M5V 0J4,1,,1,1,1,Open,Condo AptÂ Apartment,500-599,0-5,Sold,N,,0,,"Concierge, Indoor Pool, Party/Meeting Room, Security Guard, Visitor Parking",376.7,1865.57,C7328618,11/28/2023,498000,513888,528000,513888,97,1/2/2024,1/26/2024,35,490Sf + 83Sf Balcony Per Builder,,,,,766910052,1.90E+14,YOUR HOME SOLD GUARANTEED REALTY TEAM PRIS HAN CORP.,11/28/2023,"CENTURY 21 PEOPLE`S CHOICE REALTY INC., BROKERAGE",1/3/2024
Toronto,Toronto C01,Little Portugal,2249,Westside Gallery Lots,5,2005,150,Sudbury,150 Sudbury St 2005Â Toronto,M6J 3S8,1,1,1Â +Â 1,2,1,Open,Condo AptÂ Apartment,500-599,2024-11-15 0:00,EXP,E,Y,1,Owned,"Exercise Room, Guest Suites, Indoor Pool, Party/Meeting Room, Visitor Parking",381.98,2040,C6739054,8/13/2023,579990,529990,529990,,,,,140,As Per Floor Plan,,,,,762490363,1.90E+14,PREMIER MATRIX REALTY LTD.,8/13/2023,,1/1/2024
Toronto,Toronto C01,Bay Street Corridor,1866,,14,514,763,Bay,763 Bay St 514Â Toronto,M5G 2R3,0,,0,0,1,,Condo AptÂ Bachelor/Studio,0-499,,EXP,N,,0,Owned,"Bike Storage, Concierge, Gym, Indoor Pool",362.13,2262,C7033208,9/26/2023,538000,538000,538000,,,,,97,Per Floor Plan,,,,,211030185,,HOMELIFE BROADWAY REALTY INC.,9/25/2023,,1/1/2024
Toronto,Toronto C01,Kensington-Chinatown,1318,,86,123,71,Mccaul,71 Mccaul St 123Â Toronto,M5T 2X1,1,,1,1,1,Terr,Condo AptÂ Apartment,500-599,,TER,E,,0,,"Bbqs Allowed, Exercise Room, Gym, Outdoor Pool, Party/Meeting Room, Recreation Room",527.36,2066.79,C6677208,7/19/2023,539900,539900,539900,,,,,170,Owner,,,1/5/2024,1/5/2024,123180086,1.90E+14,ICI SOURCE REAL ASSET SERVICES INC.,7/19/2023,,1/5/2024
Toronto,Toronto C01,Waterfront Communities C1,2691,,24,1815,80,Queens Wharf,80 Queens Wharf Rd 1815Â Toronto,M5V 0J3,1,,1,1,1,Open,Comm Element CondoÂ Apartment,500-599,0-5,Sold,W,,0,,"Bbqs Allowed, Concierge, Exercise Room, Indoor Pool, Party/Meeting Room, Visitor Parking",437,2032,C7301614,11/15/2023,580000,540000,565000,540000,96,1/1/2024,2/1/2024,47,537 Sf + 39 Sf Balcony = 576 Sf Total,,,,,766910412,1.90E+14,BENCHMARK SIGNATURE REALTY INC.,11/15/2023,"RE/MAX HALLMARK REALTY LTD., BROKERAGE",1/3/2024
Toronto,Toronto C01,Waterfront Communities C1,2921,,6,806,458,Richmond,458 Richmond St W 806Â Toronto,M5V 0S9,1,,1,1,1,,Condo AptÂ Apartment,0-499,0-5,EXP,S,,0,Owned,"Bike Storage, Gym, Party/Meeting Room, Security System",465.15,2452,C6764712,8/23/2023,548800,548800,548800,,,,,130,As Per Builder,,,,,212390497,1.90E+14,RE/MAX WEST VICKY HSU GROUP REALTY,8/23/2023,,1/1/2024
Toronto,Toronto C01,Trinity-Bellwoods,2612,,2,302,109,Wolseley,109 Wolseley St 302Â Toronto,M6J 1K1,1,1,1Â +Â 1,2,1,Open,Condo AptÂ Apartment,600-699,,TER,Ne,Y,1,Owned,"Bbqs Allowed, Security System",822.38,2864.98,C7320226,11/23/2023,549000,549000,549000,,,,,43,Floor Plan,,,1/5/2024,1/5/2024,766120000,1.90E+14,HOMELIFE LANDMARK REALTY INC.,11/23/2023,,1/5/2024
Toronto,Toronto C01,Waterfront Communities C1,2406,,5,2405,170,Fort York,170 Fort York Blvd 2405Â Toronto,M5V 0E6,1,,1,1,1,Open,Condo AptÂ Apartment,0-499,,EXP,E,,0,,"Bike Storage, Guest Suites, Gym, Party/Meeting Room, Sauna, Visitor Parking",340.42,1559.08,C6799004,9/7/2023,550000,555000,555000,,,,,115,Mpac,,,,,764060343,1.90E+14,"T-ONE GROUP REALTY INC.,",9/7/2023,,1/1/2024
Toronto,Toronto C01,Niagara,2350,The Tower At King West,4,3008,125,Western Battery,125 Western Battery Rd 3008Â Toronto,M6K 3R8,1,,1,1,1,Open,Condo AptÂ Apartment,500-599,,Sold,S,,0,Owned,"Concierge, Exercise Room, Gym, Party/Meeting Room, Visitor Parking",303.53,1952.18,C7365586,12/21/2023,549900,556000,549900,556000,101,1/5/2024,1/31/2024,15,Mpac,,,,,763500434,1.90E+14,RE/MAX HALLMARK REALTY LTD.,12/21/2023,"ROYAL LEPAGE REALTY CENTRE, BROKERAGE",1/5/2024
Toronto,Toronto C01,Waterfront Communities C1,2707,The Harlowe,3,603,608,Richmond,608 Richmond St W 603Â Toronto,M5V 0N9,1,,1,1,1,,Condo AptÂ Apartment,500-599,0-5,EXP,S,,0,Owned,,454.91,2165.39,C6810186,9/12/2023,558000,558000,558000,,,,,110,As Per Builder,,,,,767070093,1.90E+14,"INTERNATIONAL REALTY FIRM, INC.",9/12/2023,,1/1/2024
Toronto,Toronto C01,Niagara,2181,,11,211,215,Fort York,215 Fort York Blvd 211Â Toronto,M5V 4A2,1,,1,1,1,Open,Condo AptÂ Apartment,500-599,,TER,N,Y,1,Owned,,503.66,1918.87,C7029322,9/25/2023,569000,559000,559000,,,,,99,Mpac,,,1/2/2024,1/2/2024,761810047,1.90E+14,BOSLEY REAL ESTATE LTD.,9/25/2023,,1/2/2024
Toronto,Toronto C01,Niagara,2322,King West Condominiums,20,614,65,East Liberty,65 East Liberty St 614Â Toronto,M6K 3R2,1,,1,1,1,Open,Condo AptÂ Apartment,500-599,,TER,N,,0,Owned,"Bbqs Allowed, Concierge, Exercise Room, Indoor Pool, Party/Meeting Room, Visitor Parking",391.84,1585.35,C7354004,12/13/2023,559000,559000,559000,,,,,20,Mpac,,,1/2/2024,1/2/2024,763220000,1.90E+14,CENTURY 21 ATRIA REALTY INC.,12/13/2023,,1/2/2024
Toronto,Toronto C01,Waterfront Communities C1,2510,,4410,4410,14,York,14 York St 4410Â Toronto,M5J 0B1,1,1,1Â +Â 1,2,1,Open,Condo AptÂ Apartment,500-599,,Sold,Nw,,0,,,432.72,2660,C7287444,11/9/2023,599000,560000,589000,560000,95,1/2/2024,1/26/2024,54,As Per Seller,,,,,213950229,,SUTTON GROUP - REALTY EXPERTS INC.,11/9/2023,"ROYAL LEPAGE SIGNATURE REALTY, BROKERAGE",1/2/2024
